dataset,model,family,roc_auc,precision,recall,f1,fit_seconds,score_seconds,train_size,test_size,n_features,contamination,error
remote_blobs,BinaryNSA,binary/string,0.738312,0.539474,0.585714,0.561644,0.004079,0.004185,300,290,2,0.241379,
remote_blobs,RNSA,real-valued,0.999805,0.546875,1.0,0.707071,0.001919,0.000594,300,290,2,0.241379,
remote_blobs,RRNSA,real-valued,0.999805,0.546875,1.0,0.707071,0.001843,0.000622,300,290,2,0.241379,
remote_blobs,VDetector,v-detector,0.999805,0.546875,1.0,0.707071,0.001354,0.000496,300,290,2,0.241379,
remote_blobs,GridNSA,grid/matrix,0.977857,0.971014,0.957143,0.964029,0.000851,0.00047,300,290,2,0.241379,
remote_blobs,GFRNSA,grid/matrix,0.984481,0.971014,0.957143,0.964029,0.000765,0.000538,300,290,2,0.241379,
remote_blobs,MatrixNSA,grid/matrix,0.982792,0.971014,0.957143,0.964029,0.000686,0.000442,300,290,2,0.241379,
remote_blobs,ANSA,adaptive,0.999805,0.546875,1.0,0.707071,0.003733,0.000531,300,290,2,0.241379,
remote_blobs,EvoSeedRNSA,optimization,0.999805,0.546875,1.0,0.707071,0.005454,0.000467,300,290,2,0.241379,
remote_blobs,ORNSA,boundary-aware,0.99974,0.44586,1.0,0.61674,0.00189,0.000436,300,290,2,0.241379,
remote_blobs,OptimizedNSA,optimization,0.999675,0.538462,1.0,0.7,0.008768,0.000473,300,290,2,0.241379,
remote_blobs,FtNSA,feature/self-space,0.99974,0.448718,1.0,0.619469,0.001764,0.000441,300,290,2,0.241379,
remote_blobs,IVRNSA,variable-radius,0.99974,0.538462,1.0,0.7,0.004764,0.000449,300,290,2,0.241379,
remote_blobs,CBNSA,clustering,0.999805,0.546875,1.0,0.707071,0.030023,0.000582,300,290,2,0.241379,
remote_blobs,PRR2NSA,clustering,0.99974,0.546875,1.0,0.707071,0.020429,0.000671,300,290,2,0.241379,
remote_blobs,DENSA,density,0.999805,0.546875,1.0,0.707071,0.004099,0.000443,300,290,2,0.241379,
remote_blobs,AntigenNSA,density,0.999805,0.546875,1.0,0.707071,0.004509,0.000534,300,290,2,0.241379,
remote_blobs,NSADE,optimization,0.999805,0.546875,1.0,0.707071,0.005474,0.000651,300,290,2,0.241379,
remote_blobs,NSAPSO,optimization,0.999805,0.546875,1.0,0.707071,0.006104,0.000588,300,290,2,0.241379,
remote_blobs,IORNSA,optimization,0.999805,0.546875,1.0,0.707071,0.005634,0.000559,300,290,2,0.241379,
remote_blobs,BIORVNSA,inhibition,0.999805,0.538462,1.0,0.7,0.004624,0.000537,300,290,2,0.241379,
remote_blobs,HNSAIDSA,hybrid,0.999805,0.546875,1.0,0.707071,0.001369,0.000533,300,290,2,0.241379,
remote_blobs,NSAII,hybrid,0.999805,0.546875,1.0,0.707071,0.001294,0.000507,300,290,2,0.241379,
remote_blobs,OALFBNSA,online/feedback,0.999805,0.546875,1.0,0.707071,0.001313,0.000507,300,290,2,0.241379,
remote_blobs,FBNSA,online/feedback,0.999805,0.546875,1.0,0.707071,0.00138,0.000507,300,290,2,0.241379,
remote_blobs,MNSA,ensemble,0.999545,1.0,0.885714,0.939394,0.004397,0.00177,300,290,2,0.241379,
remote_blobs,NSNAD,feature-subspace,0.999805,0.546875,1.0,0.707071,0.001499,0.000562,300,290,2,0.241379,
remote_blobs,RENNSA,reduced-overlap,0.999805,0.546875,1.0,0.707071,0.001829,0.000505,300,290,2,0.241379,
remote_blobs,AINSA,adaptive,0.999805,0.546875,1.0,0.707071,0.005384,0.00055,300,290,2,0.241379,
remote_blobs,ODNSA,optimization,0.999805,0.546875,1.0,0.707071,0.005956,0.000476,300,290,2,0.241379,
remote_blobs,CNSA,clustering,0.999805,0.546875,1.0,0.707071,0.023996,0.000477,300,290,2,0.241379,
remote_blobs,VORNSA,vectorized,0.999805,0.546875,1.0,0.707071,0.001367,0.000451,300,290,2,0.241379,
near_blobs,BinaryNSA,binary/string,0.451705,0.04,0.0125,0.019048,0.00372,0.004098,300,300,2,0.266667,
near_blobs,RNSA,real-valued,0.948807,0.608,0.95,0.741463,0.001621,0.000482,300,300,2,0.266667,
near_blobs,RRNSA,real-valued,0.948807,0.608,0.95,0.741463,0.001372,0.00045,300,300,2,0.266667,
near_blobs,VDetector,v-detector,0.94858,0.608,0.95,0.741463,0.001322,0.000447,300,300,2,0.266667,
near_blobs,GridNSA,grid/matrix,0.806562,0.959184,0.5875,0.728682,0.000759,0.000443,300,300,2,0.266667,
near_blobs,GFRNSA,grid/matrix,0.788466,0.959184,0.5875,0.728682,0.000649,0.000421,300,300,2,0.266667,
near_blobs,MatrixNSA,grid/matrix,0.814063,0.959184,0.5875,0.728682,0.000599,0.000411,300,300,2,0.266667,
near_blobs,ANSA,adaptive,0.94858,0.608,0.95,0.741463,0.003678,0.000454,300,300,2,0.266667,
near_blobs,EvoSeedRNSA,optimization,0.948636,0.608,0.95,0.741463,0.005765,0.000549,300,300,2,0.266667,
near_blobs,ORNSA,boundary-aware,0.969091,0.541667,0.975,0.696429,0.001925,0.000462,300,300,2,0.266667,
near_blobs,OptimizedNSA,optimization,0.953466,0.608,0.95,0.741463,0.009086,0.000461,300,300,2,0.266667,
near_blobs,FtNSA,feature/self-space,0.969375,0.541667,0.975,0.696429,0.001764,0.000445,300,300,2,0.266667,
near_blobs,IVRNSA,variable-radius,0.963295,0.614173,0.975,0.753623,0.004622,0.000472,300,300,2,0.266667,
near_blobs,CBNSA,clustering,0.948409,0.608,0.95,0.741463,0.020846,0.000504,300,300,2,0.266667,
near_blobs,PRR2NSA,clustering,0.948409,0.608,0.95,0.741463,0.020313,0.000487,300,300,2,0.266667,
near_blobs,DENSA,density,0.948693,0.608,0.95,0.741463,0.004206,0.000465,300,300,2,0.266667,
near_blobs,AntigenNSA,density,0.948693,0.608,0.95,0.741463,0.004439,0.000476,300,300,2,0.266667,
near_blobs,NSADE,optimization,0.94875,0.608,0.95,0.741463,0.005667,0.000649,300,300,2,0.266667,
